publisher,developer,acquisition_date,nominal_value,notes
2K,Gearbox Software,2024,460,
Devolver Digital,System Era Softworks,2023,40,
Atari SA,Nightdive Studios,2023,95.24,
SEGA,Rovio Entertainment,2023,776,
Nacon,Daedalic Entertainment,2022,60.2,
Devolver Digital,Nerial,2021,17.353,
Focus Home Interactive,DotEmu,2021,46,
Nacon,Big Ant Studios,2021,42.5,
Electronic Arts,Codemasters,2020,1200,
Devolver Digital,Croteam,2020,26.935,
Focus Home Interactive,Deck 13,2020,7.9,
Tencent,Funcom,2020,148,
THQ Nordic,Warhorse Studios,2019,48.51,
Sony Interactive Entertainment,Insomniac Games,2019,229,
Paradox Interactive,Harebrained Schemes,2018,7.5,
Pearl Abyss,CCP Games,2018,425,
Microsoft,Ninja Theory,2018,117,
Electronic Arts,Respawn Entertainment,2017,315,
SEGA,Relic Entertainment,2013,26.6,
Electronic Arts,PopCap Games,2011,750,
Warner Bros. Interactive Entertainment,Midway Games,2009,33,
Square Enix,Eidos Interactive,2009,120,
Electronic Arts,BioWare,2007,775,Joint BioWare/Pandemic Studios
Electronic Arts,Pandemic Studios,2007,775,Joint BioWare/Pandemic Studios
Warner Bros. Interactive Entertainment,TT Games,2007,210,
